Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,acceptability_threshold,dim_data,drifting_clients,filename,ideal_cluster_num,ideal_cluster_num_deviation,initial_points_per_generator,m,max_iter_global,max_iter_local,mean_max_val,mean_min_val,n_clients,n_generators_per_client,n_repeats,n_time_steps,n_unused_client_generators,next_timestep_new_points_per_generator,num_clusters_used,ratio_drifted_clients,ratio_new_data_distribution,ratio_unused_client_generators,run_mode,tol_global,tol_local,drift_detected_counter,false_positive_rate,initial_global_db_max,initial_global_db_mean,initial_global_db_median,initial_global_db_min,initial_global_db_std
2024-01-08 10:24:01,244ms,450902d153074d1c901e7c02dee27aae,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,25,5,./results/no_local_drift_2024-01-08_10-24-01_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.4648955344180215,0.4503146229552142,0.4498563784132897,0.4356537889706947,0.008839143425473008
2024-01-08 10:23:56,249ms,e395906fcbcd475d8ec2b1ac8243c781,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,2,5,./results/no_local_drift_2024-01-08_10-23-56_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.5057260239039746,0.45933464757680487,0.47551336611430206,0.3345948045533204,0.04222228896404677
2024-01-08 10:15:48,248ms,7bf162ec9e27465995e97c0cd14dbdda,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,2,5,./results/no_local_drift_2024-01-08_10-15-48_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.7725176950202188,0.5300591586604799,0.5222980780440358,0.39514339235806706,0.09300780245408005
2024-01-08 10:13:08,263ms,cc68a7206d3948ffbbf24726f9b8f3b6,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,2,5,./results/no_local_drift_2024-01-08_10-13-08_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.6563869274770184,0.5339352860431468,0.5181495245652861,0.4515960664693651,0.053878092072721526
2024-01-08 10:12:43,256ms,ad9bc2a779994b0194139b2da6fc1367,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,100,5,./results/no_local_drift_2024-01-08_10-12-42_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,42727.69264225135,35648.300850132604,35905.82007327906,28543.282811732894,3577.4916462461083
2024-01-08 10:11:56,245ms,d0ef27a6bd454b12932e6983050b69a6,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,100,5,./results/no_local_drift_2024-01-08_10-11-55_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.20646425605675925,0.2021200342550697,0.20214975938688695,0.198122962372059,0.002372491503514126
2024-01-08 10:11:31,269ms,2372eaea2ae542a2a8ac45c32602e369,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,100,5,./results/no_local_drift_2024-01-08_10-11-31_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.47904266861145545,0.4660066076612823,0.4635607166615147,0.45171850902424604,0.007600987214823965
2024-01-08 10:11:20,244ms,1203a2a4651840138de845688b20f67e,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,25,5,./results/no_local_drift_2024-01-08_10-11-20_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,25799.157458179714,17951.341851297366,18139.212864860034,10147.869111098555,4030.7169257494515
2024-01-08 10:10:42,241ms,0fd2a749c75b43af977f3640f1a31cb6,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,25,5,./results/no_local_drift_2024-01-08_10-10-42_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.24467875010156237,0.22165097580614437,0.22033843911316436,0.21199301310801605,0.007051706190140153
2024-01-08 10:10:27,251ms,3a9ddf1e7f734f1ea3b0351987f21a2c,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,25,5,./results/no_local_drift_2024-01-08_10-10-27_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.47314390604534734,0.44791095653328455,0.44599437508536544,0.4322743973720293,0.011255492264211372
