Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,acceptability_threshold,dim_data,drifting_clients,filename,ideal_cluster_num,ideal_cluster_num_deviation,initial_points_per_generator,m,max_iter_global,max_iter_local,mean_max_val,mean_min_val,n_clients,n_generators_per_client,n_repeats,n_time_steps,n_unused_client_generators,next_timestep_new_points_per_generator,num_clusters_used,ratio_drifted_clients,ratio_new_data_distribution,ratio_unused_client_generators,run_mode,tol_global,tol_local,drift_detected_counter,initial_global_db_max,initial_global_db_mean,initial_global_db_median,initial_global_db_min,initial_global_db_std,true_positive_rate
2024-01-11 07:56:15,274ms,25e274c0000e45b48f6ca7901076e7b2,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,0.9,0.9,global_drift_unused_generators,0.01,0.001,106,0.20808872872958273,0.2027525521835345,0.20340154504962338,0.1969302423312786,0.0025954344143477278,0.53
2024-01-11 07:55:48,274ms,fb286cb982e24900ad3b4a11b39b0ba3,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,0.5,0.9,global_drift_unused_generators,0.01,0.001,200,0.2079323653878166,0.20204433907444663,0.201189925987948,0.1982614717270043,0.002498541369897387,1
2024-01-11 07:55:21,266ms,413e71e2dc9e4e218f1a3ae8e300b8f1,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,0.1,0.9,global_drift_unused_generators,0.01,0.001,200,0.20739436298328123,0.2017096484809814,0.20110379851054297,0.19766627009033264,0.0023648646962423246,1
2024-01-11 07:54:55,264ms,756249dda2f0465bbea1451536844c86,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,5,100,10,0.5,1.0,0.5,global_drift_unused_generators,0.01,0.001,200,0.20872968576260184,0.20173883170990803,0.20073931367229397,0.19790317011224437,0.002673241441151956,1
2024-01-11 07:54:31,275ms,1b5d78ec4337439f9ffca7fba16ed765,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,5,100,10,0.5,0.9,0.5,global_drift_unused_generators,0.01,0.001,200,0.20688267733835125,0.20170117723285225,0.20161803238759007,0.19878921357250345,0.001975693538324223,1
2024-01-11 07:54:04,274ms,6919116e375a47388936f723697e2d3a,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,5,100,10,0.5,0.5,0.5,global_drift_unused_generators,0.01,0.001,200,0.20547342971406762,0.20180643885867394,0.20232138230731292,0.19771757560303163,0.002144507139768404,1
2024-01-11 07:53:38,269ms,e21307fa20354f16bdea7d47b81c2fa3,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,5,100,10,0.5,0.1,0.5,global_drift_unused_generators,0.01,0.001,27,0.20510528514061188,0.20156162699511518,0.20136923325011757,0.19730844432950242,0.0021588275605162596,0.135
2024-01-11 07:53:11,287ms,0027d667194d471692a1ddb91a257351,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,1,100,10,0.5,1.0,0.1,global_drift_unused_generators,0.01,0.001,200,0.20379623751429943,0.20059004987908277,0.2003982378885087,0.19679041040363093,0.00192335318251591,1
2024-01-11 07:52:48,276ms,8a2bec893f914fe2b66de7d9ea20fc95,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,1,100,10,0.5,0.9,0.1,global_drift_unused_generators,0.01,0.001,200,0.2054074297126162,0.2015516768264074,0.20134946069259904,0.1971843687643749,0.001998555480422482,1
2024-01-11 07:52:21,272ms,6eeb9e314b0e4204b8aec4e0e6be17ce,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,1,100,10,0.5,0.5,0.1,global_drift_unused_generators,0.01,0.001,183,0.20691124673276592,0.20262949616258408,0.20258559703582918,0.19937579176792525,0.001946437907354548,0.915
