Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,acceptability_threshold,dim_data,drifting_clients,filename,ideal_cluster_num,ideal_cluster_num_deviation,initial_points_per_generator,m,max_iter_global,max_iter_local,mean_max_val,mean_min_val,n_clients,n_generators_per_client,n_repeats,n_time_steps,n_unused_client_generators,next_timestep_new_points_per_generator,num_clusters_used,ratio_drifted_clients,ratio_new_data_distribution,ratio_unused_client_generators,run_mode,tol_global,tol_local,drift_detected_counter,false_positive_rate,initial_global_db_max,initial_global_db_mean,initial_global_db_median,initial_global_db_min,initial_global_db_std
2024-01-08 09:30:51,247ms,6b35f5dc0e0646708de2de78a9178412,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,100,5,./results/local_but_no_global_drift_2024-01-08_09-30-51_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.4803465633219792,0.46236582846627644,0.4610268105455652,0.4460715599318907,0.008263018183631097
2024-01-08 09:30:38,250ms,5e260ca9eb87437aa9b2889324c0cf0f,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,25,5,./results/local_but_no_global_drift_2024-01-08_09-30-38_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,31070.71623477604,17218.49286819247,16644.87328410857,11403.065821142422,4136.086939166751
2024-01-08 09:30:00,260ms,40ca930f1c3f42578121fb6c29161068,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,25,5,./results/local_but_no_global_drift_2024-01-08_09-29-59_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.23441749759400535,0.22294942288349118,0.22242141363457585,0.21230049431317227,0.0055991575455555664
2024-01-08 09:29:44,255ms,2763373ce31044f59651e3127ac00596,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,25,5,./results/local_but_no_global_drift_2024-01-08_09-29-44_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.4907954112675297,0.4486732306861505,0.4477070421618655,0.4263781598806037,0.01415392339755276
2024-01-08 09:29:39,261ms,8f58179f772f486fa5a0c8b5199184a3,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,2,5,./results/local_but_no_global_drift_2024-01-08_09-29-39_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.5584875063335005,0.44785227713888276,0.4435532194151415,0.3124969619117413,0.060172708353655645
2024-01-08 09:21:33,273ms,ac13c6fe4b2d495382db1359d8d255ba,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,2,5,./results/local_but_no_global_drift_2024-01-08_09-21-33_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.666210273248504,0.5368153427136211,0.5065487826484762,0.43067656307537605,0.07267812781807377
2024-01-08 09:19:01,277ms,181d31f606c24b40938095b27fea72b4,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,2,5,./results/local_but_no_global_drift_2024-01-08_09-19-01_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.6587415075829454,0.5546749937948477,0.5474434218508135,0.4485916095957627,0.06230157424334128
2024-01-08 09:18:34,249ms,bc397c1fd81945cfbed5d9a7d7cf7005,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,100,5,./results/local_but_no_global_drift_2024-01-08_09-18-33_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,43420.35200088238,36053.22280742017,35874.01152633224,29473.498532802903,3503.6997780426263
2024-01-08 09:17:45,253ms,cc39caf003da4cba9556cdf5bf56f968,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,100,5,./results/local_but_no_global_drift_2024-01-08_09-17-44_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.2064602859065599,0.20199476096817132,0.20204115324704502,0.19717485563847892,0.0021719184282491515
2024-01-08 09:17:18,257ms,1aba5a2e83ae421d8352237bc1715226,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,100,5,./results/local_but_no_global_drift_2024-01-08_09-17-18_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,local_but_no_global_drift,0.01,0.001,0,0,0.4907770864481994,0.46730463108940795,0.46619957115040245,0.4552191693930926,0.008133121369311743
